"Drug Name and FDA Appl. #","Suppl. #","Active Ingredients","Company","Approval Type","Approval Date"
"HUMALOG KWIKPEN (NDA #020563)","148","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/03/2014"
"HUMALOG PEN (NDA #020563)","148","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/03/2014"
"XALATAN (NDA #020597)","049","LATANOPROST","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","04/03/2014"
"HUMALOG MIX 50/50 (NDA #021018)","092","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/03/2014"
"HUMALOG MIX 50/50 KWIKPEN (NDA #021018)","092","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/03/2014"
"HUMALOG MIX 50/50 PEN (NDA #021018)","092","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/03/2014"
"SURFAXIN (NDA #021746)","004","LUCINACTANT","DISCOVERY LABS","Manufacturing Change or Addition","04/03/2014"
"SABRIL (NDA #022006)","014","VIGABATRIN","LUNDBECK LLC","Labeling Revision","04/03/2014"
"GRIFULVIN V (ANDA #062279)","022","GRISEOFULVIN, MICROCRYSTALLINE","VALEANT LUXEMBOURG","Labeling Revision","04/03/2014"
"GRIFULVIN V (ANDA #062279)","022","GRISEOFULVIN, MICROSIZE","VALEANT LUXEMBOURG","Labeling Revision","04/03/2014"
"BENLYSTA (BLA #125370)","053","BELIMUMAB","HUMAN GENOME SCIENCES INC.","Labeling Revision","04/03/2014"
"MOXIFLOXACIN HYDROCHLORIDE (ANDA #200160)","000","MOXIFLOXACIN HYDROCHLORIDE","TORRENT PHARMS LTD","Approval","04/03/2014"
"MEMANTINE HYDROCHLORIDE (ANDA #200891)","000","MEMANTINE HYDROCHLORIDE","ALEMBIC LTD","Tentative Approval","04/03/2014"
"NIFEDIPINE (ANDA #203126)","000","NIFEDIPINE","TWI PHARMS INC","Approval","04/03/2014"
"NEVIRAPINE (ANDA #203411)","000","NEVIRAPINE","SANDOZ","Approval","04/03/2014"
"NEURACEQ (NDA #204677)","001","FLORBETABEN F-18","PIRAMAL IMAGING","Labeling Revision","04/03/2014"
"NEVIRAPINE (ANDA #205258)","000","NEVIRAPINE","APOTEX INC","Approval","04/03/2014"
"EVZIO (NDA #205787)","000","NALOXONE HYDROCHLORIDE","KALEO INC","Approval","04/03/2014"
"LIPIODOL (NDA #009190)","024","ETHIODIZED OIL","GUERBET","Efficacy Supplement with Clinical Data to Support","04/04/2014"
"SOLU-CORTEF (NDA #009866)","095","HYDROCORTISONE SODIUM SUCCINATE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","04/04/2014"
"SOLU-MEDROL (NDA #011856)","116","METHYLPREDNISOLONE SODIUM SUCCINATE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","04/04/2014"
"LUNESTA (NDA #021476)","025","ESZOPICLONE","SUNOVION PHARMS INC","Manufacturing Change or Addition","04/04/2014"
"SYMBICORT (NDA #021929)","037","BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE","ASTRAZENECA","Manufacturing Change or Addition","04/04/2014"
"PRADAXA (NDA #022512)","018","DABIGATRAN ETEXILATE MESYLATE","BOEHRINGER INGELHEIM","Efficacy Supplement with Clinical Data to Support","04/04/2014"
"CLEOCIN (NDA #050537)","035","CLINDAMYCIN PHOSPHATE","PHARMACIA AND UPJOHN","Labeling Revision","04/04/2014"
"CLEOCIN T (NDA #050537)","035","CLINDAMYCIN PHOSPHATE","PHARMACIA AND UPJOHN","Labeling Revision","04/04/2014"
"CLEOCIN T (NDA #050600)","013","CLINDAMYCIN PHOSPHATE","PHARMACIA AND UPJOHN","Labeling Revision","04/04/2014"
"CLEOCIN T (NDA #050615)","012","CLINDAMYCIN PHOSPHATE","PHARMACIA AND UPJOHN","Labeling Revision","04/04/2014"
"AUGMENTIN XR (NDA #050785)","015","AMOXICILLIN; CLAVULANATE POTASSIUM","DR REDDYS LABS INC","Labeling Revision","04/04/2014"
"VALACYCLOVIR HYDROCHLORIDE (ANDA #090500)","000","VALACYCLOVIR HYDROCHLORIDE","APOTEX INC","Approval","04/04/2014"
"LIDOCAINE HYDROCHLORIDE 0.2% IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #018388)","085","LIDOCAINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","04/07/2014"
"LIDOCAINE HYDROCHLORIDE 0.4% IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #018388)","085","LIDOCAINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","04/07/2014"
"LIDOCAINE HYDROCHLORIDE 0.8% IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #018388)","085","LIDOCAINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","04/07/2014"
"ZOMETA (NDA #021223)","028","ZOLEDRONIC ACID","NOVARTIS","Labeling Revision","04/07/2014"
"VFEND (NDA #021266)","037","VORICONAZOLE","PFIZER","Labeling Revision","04/07/2014"
"VFEND (NDA #021267)","044","VORICONAZOLE","PFIZER","Labeling Revision","04/07/2014"
"VFEND (NDA #021630)","027","VORICONAZOLE","PFIZER","Labeling Revision","04/07/2014"
"APTIVUS (NDA #021814)","014","TIPRANAVIR","BOEHRINGER INGELHEIM","Labeling Revision","04/07/2014"
"PREZISTA (NDA #021976)","034","DARUNAVIR ETHANOLATE","JANSSEN PRODS","Labeling Revision","04/07/2014"
"TORISEL (NDA #022088)","016","TEMSIROLIMUS","PF PRISM CV","Labeling Revision","04/07/2014"
"APTIVUS (NDA #022292)","007","TIPRANAVIR","BOEHRINGER INGELHEIM","Labeling Revision","04/07/2014"
"VIIBRYD (NDA #022567)","011","VILAZODONE HYDROCHLORIDE","FOREST LABS INC","Labeling Revision","04/07/2014"
"LAZANDA (NDA #022569)","018","FENTANYL CITRATE","DEPOMED INC","Manufacturing Change or Addition","04/07/2014"
"TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN (ANDA #078778)","000","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","APOTEX INC","Approval","04/07/2014"
"NIMODIPINE (ANDA #090103)","000","NIMODIPINE","THEPHARMANETWORK LLC","Approval","04/07/2014"
"HYDROCHLOROTHIAZIDE (ANDA #090651)","000","HYDROCHLOROTHIAZIDE","CARACO","Approval","04/07/2014"
"OMEGA-3-ACID ETHYL ESTERS (ANDA #091028)","000","OMEGA-3-ACID ETHYL ESTERS","TEVA PHARMS USA","Approval","04/07/2014"
"NAFCILLIN SODIUM (ANDA #200002)","000","NAFCILLIN SODIUM","AGILA SPECLTS","Approval","04/07/2014"
"AMPICILLIN AND SULBACTAM (ANDA #201024)","000","AMPICILLIN SODIUM; SULBACTAM SODIUM","AGILA SPECLTS","Approval","04/07/2014"
"AMPICILLIN AND SULBACTAM (ANDA #202197)","000","AMPICILLIN SODIUM; SULBACTAM SODIUM","AGILA SPECLTS","Approval","04/07/2014"
"AMPICILLIN SODIUM (ANDA #202198)","000","AMPICILLIN SODIUM","AGILA SPECLTS","Approval","04/07/2014"
"PREZISTA (NDA #202895)","011","DARUNAVIR ETHANOLATE","JANSSEN PRODS","Labeling Revision","04/07/2014"
"PIOGLITAZONE HYDROCHLORIDE (ANDA #204133)","000","PIOGLITAZONE HYDROCHLORIDE","LUPIN LTD","Approval","04/07/2014"
"ORTHO-CEPT (NDA #020301)","033","DESOGESTREL; ETHINYL ESTRADIOL","JANSSEN PHARMS","Manufacturing Change or Addition","04/08/2014"
"SYNTHROID (NDA #021402)","026","LEVOTHYROXINE SODIUM","ABBVIE","Manufacturing Change or Addition","04/08/2014"
"ISENTRESS (NDA #022145)","032","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","04/08/2014"
"AUGMENTIN ES-600 (NDA #050755)","020","AMOXICILLIN; CLAVULANATE POTASSIUM","DR REDDYS LABS INC","Manufacturing Change or Addition","04/08/2014"
"OXALIPLATIN (ANDA #202922)","000","OXALIPLATIN","SUN PHARMA GLOBAL","Approval","04/08/2014"
"OXALIPLATIN (ANDA #202922)","000","OXALIPLATIN","SUN PHARMA GLOBAL","Tentative Approval","04/08/2014"
"ISENTRESS (NDA #203045)","010","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","04/08/2014"
"KALYDECO (NDA #203188)","008","IVACAFTOR","VERTEX PHARMS","Labeling Revision","04/08/2014"
"ISENTRESS (NDA #205786)","001","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","04/08/2014"
"DIAMOX (NDA #012945)","046","ACETAZOLAMIDE","DURAMED PHARMS BARR","Manufacturing Change or Addition","04/09/2014"
"EXELON (NDA #020823)","031","RIVASTIGMINE TARTRATE","NOVARTIS","Manufacturing Change or Addition","04/09/2014"
"ORAVERSE (NDA #022159)","007","PHENTOLAMINE MESYLATE","SEPTODONT HOLDING","Manufacturing Change or Addition","04/09/2014"
"AMPICILLIN SODIUM (ANDA #201025)","000","AMPICILLIN SODIUM","STRIDES ARCOLAB LTD","Approval","04/09/2014"
"VICTRELIS (NDA #202258)","011","BOCEPREVIR","MERCK SHARP DOHME","Efficacy Supplement with Clinical Data to Support","04/09/2014"
"GATIFLOXACIN (ANDA #203190)","000","GATIFLOXACIN","HI-TECH PHARMACAL","Tentative Approval","04/09/2014"
"ZOLMITRIPTAN (ANDA #204284)","000","ZOLMITRIPTAN","INVAGEN PHARMS","Approval","04/09/2014"
"SPRYCEL (NDA #021986)","014","DASATINIB","BRISTOL MYERS SQUIBB","Labeling Revision","04/10/2014"
"PROMACTA (NDA #022291)","011","ELTROMBOPAG OLAMINE","GLAXOSMITHKLINE","Labeling Revision","04/10/2014"
"OFLOXACIN (ANDA #076182)","014","OFLOXACIN","TEVA","Labeling Revision","04/10/2014"
"PREMARIN (NDA #004782)","163","ESTROGENS, CONJUGATED","WYETH PHARMS INC","Manufacturing Change or Addition","04/11/2014"
"HUMULIN N (NDA #018781)","143","INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMATROPE (NDA #019640)","095","SOMATROPIN RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMULIN 70/30 (NDA #019717)","122","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMULIN 70/30 PEN (NDA #019717)","122","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Manufacturing Change or Addition","04/11/2014"
"SPORANOX (NDA #020083)","054","ITRACONAZOLE","JANSSEN PHARMS","Manufacturing Change or Addition","04/11/2014"
"HUMALOG (NDA #020563)","149","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG KWIKPEN (NDA #020563)","149","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG PEN (NDA #020563)","149","INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG MIX 75/25 (NDA #021017)","100","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG MIX 75/25 KWIKPEN (NDA #021017)","100","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG MIX 75/25 PEN (NDA #021017)","100","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG MIX 50/50 (NDA #021018)","093","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG MIX 50/50 KWIKPEN (NDA #021018)","093","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"HUMALOG MIX 50/50 PEN (NDA #021018)","093","INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT","LILLY","Manufacturing Change or Addition","04/11/2014"
"ORTHO EVRA (NDA #021180)","046","ETHINYL ESTRADIOL; NORELGESTROMIN","JANSSEN PHARMS","Labeling Revision","04/11/2014"
"XYREM (NDA #021196)","019","SODIUM OXYBATE","JAZZ PHARMS","Efficacy Supplement with Clinical Data to Support","04/11/2014"
"FORTEO (NDA #021318)","039","TERIPARATIDE RECOMBINANT HUMAN","LILLY","Manufacturing Change or Addition","04/11/2014"
"VIMPAT (NDA #022255)","015","LACOSAMIDE","UCB INC","Manufacturing Change or Addition","04/11/2014"
"FORTAZ IN PLASTIC CONTAINER (NDA #050634)","027","CEFTAZIDIME SODIUM","COVIS INJECTABLES","Manufacturing Change or Addition","04/11/2014"
"LIDOCAINE HYDROCHLORIDE (ANDA #202242)","000","LIDOCAINE HYDROCHLORIDE","AGILA SPECLTS","Approval","04/11/2014"
"CLOPIDOGREL (ANDA #203751)","000","CLOPIDOGREL","AMNEAL PHARMS","Approval","04/11/2014"
"KADIAN (NDA #020616)","052","MORPHINE SULFATE","WATSON LABS INC","Manufacturing Change or Addition","04/14/2014"
"SEREVENT (NDA #020692)","043","SALMETEROL XINAFOATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"FLOVENT DISKUS 100 (NDA #020833)","028","FLUTICASONE PROPIONATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"FLOVENT DISKUS 250 (NDA #020833)","028","FLUTICASONE PROPIONATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"FLOVENT DISKUS 50 (NDA #020833)","028","FLUTICASONE PROPIONATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"ADVAIR DISKUS 100/50 (NDA #021077)","051","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"ADVAIR DISKUS 250/50 (NDA #021077)","051","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"ADVAIR DISKUS 500/50 (NDA #021077)","051","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","GLAXO GRP LTD","Labeling Revision","04/14/2014"
"TARCEVA (NDA #021743)","019","ERLOTINIB HYDROCHLORIDE","OSI PHARMS","Labeling Revision","04/14/2014"
"SELZENTRY (NDA #022128)","013","MARAVIROC","VIIV HLTHCARE","Manufacturing Change or Addition","04/14/2014"
"DOXIL (LIPOSOMAL) (NDA #050718)","047","DOXORUBICIN HYDROCHLORIDE","JANSSEN RES AND DEV","Manufacturing Change or Addition","04/14/2014"
"METHADONE HYDROCHLORIDE (ANDA #090707)","003","METHADONE HYDROCHLORIDE","VISTAPHARM","Labeling Revision","04/14/2014"
"NULOJIX (BLA #125288)","059","BELATACEPT","BRISTOL MYERS SQUIBB","Labeling Revision","04/14/2014"
"SUMATRIPTAN SUCCINATE (ANDA #203322)","000","SUMATRIPTAN SUCCINATE","AGILA SPECLTS","Approval","04/14/2014"
"MINASTRIN 24 FE (NDA #203667)","003","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","WARNER CHILCOTT LLC","Manufacturing Change or Addition","04/14/2014"
"DIAZEPAM (ANDA #204433)","000","DIAZEPAM","LANNETT HOLDINGS INC","Approval","04/14/2014"
"ZORVOLEX (NDA #204592)","001","DICLOFENAC","IROKO PHARMS LLC","Manufacturing Change or Addition","04/14/2014"
"ESMOLOL HYDROCHLORIDE (NDA #205703)","000","ESMOLOL HYDROCHLORIDE","HQ SPECIALITY PHARMA","Tentative Approval","04/14/2014"
"EXCEDRIN (MIGRAINE) (NDA #020802)","022","ACETAMINOPHEN; ASPIRIN; CAFFEINE","NOVARTIS","Labeling Revision","04/15/2014"
"NEURONTIN (NDA #021129)","041","GABAPENTIN","PARKE DAVIS","Manufacturing Change or Addition","04/15/2014"
"ELIGARD (NDA #021379)","028","LEUPROLIDE ACETATE","TOLMAR THERAP","Manufacturing Change or Addition","04/15/2014"
"ESZOPICLONE (ANDA #091024)","000","ESZOPICLONE","DR REDDYS LABS LTD","Approval","04/15/2014"
"ESZOPICLONE (ANDA #091153)","000","ESZOPICLONE","ROXANE","Approval","04/15/2014"
"ESZOPICLONE (ANDA #091166)","000","ESZOPICLONE","GLENMARK GENERICS","Approval","04/15/2014"
"TANZEUM (BLA #125431)","000","ALBIGLUTIDE","GLAXOSMITHKLINE LLC","Approval","04/15/2014"
"SITAGLIPTIN PHOSPHATE (ANDA #202327)","000","SITAGLIPTIN PHOSPHATE","WATSON LABS INC","Tentative Approval","04/15/2014"
"RAMIPRIL (ANDA #202392)","000","RAMIPRIL","ACCORD HLTHCARE INC","Approval","04/15/2014"
"DOLOPHINE HYDROCHLORIDE (NDA #006134)","035","METHADONE HYDROCHLORIDE","ROXANE","Labeling Revision","04/16/2014"
"MS CONTIN (NDA #019516)","042","MORPHINE SULFATE","PURDUE PHARMA LP","Labeling Revision","04/16/2014"
"DURAGESIC-100 (NDA #019813)","063","FENTANYL","JANSSEN PHARMS","Labeling Revision","04/16/2014"
"DURAGESIC-12 (NDA #019813)","063","FENTANYL","JANSSEN PHARMS","Labeling Revision","04/16/2014"
"DURAGESIC-25 (NDA #019813)","063","FENTANYL","JANSSEN PHARMS","Labeling Revision","04/16/2014"
"DURAGESIC-50 (NDA #019813)","063","FENTANYL","JANSSEN PHARMS","Labeling Revision","04/16/2014"
"DURAGESIC-75 (NDA #019813)","063","FENTANYL","JANSSEN PHARMS","Labeling Revision","04/16/2014"
"KADIAN (NDA #020616)","051","MORPHINE SULFATE","WATSON LABS INC","Labeling Revision","04/16/2014"
"CELEXA (NDA #020822)","045","CITALOPRAM HYDROBROMIDE","FOREST LABS","Labeling Revision","04/16/2014"
"ALLEGRA ALLERGY (NDA #020872)","031","FEXOFENADINE HYDROCHLORIDE","SANOFI AVENTIS US","Manufacturing Change or Addition","04/16/2014"
"ALLEGRA HIVES (NDA #020872)","031","FEXOFENADINE HYDROCHLORIDE","SANOFI AVENTIS US","Manufacturing Change or Addition","04/16/2014"
"CHILDREN'S ALLEGRA ALLERGY (NDA #020872)","031","FEXOFENADINE HYDROCHLORIDE","SANOFI AVENTIS US","Manufacturing Change or Addition","04/16/2014"
"CHILDREN'S ALLEGRA HIVES (NDA #020872)","031","FEXOFENADINE HYDROCHLORIDE","SANOFI AVENTIS US","Manufacturing Change or Addition","04/16/2014"
"PALLADONE (NDA #021044)","013","HYDROMORPHONE HYDROCHLORIDE","PURDUE PHARMA LP","Labeling Revision","04/16/2014"
"EXALGO (NDA #021217)","013","HYDROMORPHONE HYDROCHLORIDE","MALLINCKRODT INC","Labeling Revision","04/16/2014"
"AVINZA (NDA #021260)","022","MORPHINE SULFATE","KING PHARMS LLC","Labeling Revision","04/16/2014"
"BUTRANS (NDA #021306)","018","BUPRENORPHINE","PURDUE PHARMA LP","Labeling Revision","04/16/2014"
"OPANA ER (NDA #021610)","018","OXYMORPHONE HYDROCHLORIDE","ENDO PHARMS","Labeling Revision","04/16/2014"
"OXYCONTIN (NDA #022272)","022","OXYCODONE HYDROCHLORIDE","PURDUE PHARMA LP","Labeling Revision","04/16/2014"
"EMBEDA (NDA #022321)","017","MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE","ALPHARMA PHARMS","Labeling Revision","04/16/2014"
"PRADAXA (NDA #022512)","020","DABIGATRAN ETEXILATE MESYLATE","BOEHRINGER INGELHEIM","Manufacturing Change or Addition","04/16/2014"
"OXYMORPHONE HYDROCHLORIDE (ANDA #079046)","013","OXYMORPHONE HYDROCHLORIDE","ACTAVIS ELIZABETH","Labeling Revision","04/16/2014"
"METHADONE HYDROCHLORIDE (ANDA #087393)","033","METHADONE HYDROCHLORIDE","ROXANE","Labeling Revision","04/16/2014"
"METHADONE HYDROCHLORIDE INTENSOL (ANDA #089897)","028","METHADONE HYDROCHLORIDE","ROXANE","Labeling Revision","04/16/2014"
"NUCYNTA ER (NDA #200533)","010","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","04/16/2014"
"XULANE (ANDA #200910)","000","ETHINYL ESTRADIOL; NORELGESTROMIN","MYLAN TECHNOLOGIES","Approval","04/16/2014"
"OPANA ER (NDA #201655)","012","OXYMORPHONE HYDROCHLORIDE","ENDO PHARMS","Labeling Revision","04/16/2014"
"LO MINASTRIN FE (NDA #204654)","002","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","WARNER CHILCOTT","Manufacturing Change or Addition","04/16/2014"
"NICORETTE (NDA #018612)","070","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Manufacturing Change or Addition","04/17/2014"
"NICORETTE (MINT) (NDA #018612)","070","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Manufacturing Change or Addition","04/17/2014"
"TRENTAL (NDA #018631)","036","PENTOXIFYLLINE","SANOFI AVENTIS US","Labeling Revision","04/17/2014"
"NICORETTE (NDA #020066)","051","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Manufacturing Change or Addition","04/17/2014"
"NICORETTE (MINT) (NDA #020066)","051","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Manufacturing Change or Addition","04/17/2014"
"VIVITROL (NDA #021897)","026","NALTREXONE","ALKERMES","Manufacturing Change or Addition","04/17/2014"
"COARTEM (NDA #022268)","008","ARTEMETHER; LUMEFANTRINE","NOVARTIS","Manufacturing Change or Addition","04/17/2014"
"DULERA (NDA #022518)","014","FORMOTEROL FUMARATE; MOMETASONE FUROATE","MERCK SHARP DOHME","Labeling Revision","04/17/2014"
"VIIBRYD (NDA #022567)","010","VILAZODONE HYDROCHLORIDE","FOREST LABS INC","Manufacturing Change or Addition","04/17/2014"
"ARZERRA (BLA #125326)","060","OFATUMUMAB","GLAXO GRP LTD","Efficacy Supplement with Clinical Data to Support","04/17/2014"
"PHENYTOIN (ANDA #200565)","000","PHENYTOIN","TARO","Approval","04/17/2014"
"ZYTIGA (NDA #202379)","011","ABIRATERONE ACETATE","JANSSEN BIOTECH","Manufacturing Change or Addition","04/17/2014"
"VASOSTRICT (NDA #204485)","000","VASOPRESSIN","PAR STERILE PRODUCTS","Approval","04/17/2014"
"ZINECARD (NDA #020212)","017","DEXRAZOXANE HYDROCHLORIDE","PHARMACIA AND UPJOHN","Labeling Revision","04/18/2014"
"NASONEX (NDA #020762)","049","MOMETASONE FUROATE MONOHYDRATE","MERCK SHARP DOHME","Manufacturing Change or Addition","04/18/2014"
"PRECEDEX (NDA #021038)","016","DEXMEDETOMIDINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","04/18/2014"
"MORPHINE SULFATE (NDA #022195)","008","MORPHINE SULFATE","ROXANE","Manufacturing Change or Addition","04/18/2014"
"CEFADROXIL (ANDA #065396)","012","CEFADROXIL/CEFADROXIL HEMIHYDRATE","LUPIN","Labeling Revision","04/18/2014"
"EDARBI (NDA #200796)","005","AZILSARTAN KAMEDOXOMIL","ARBOR PHARMS IRELAND","Labeling Revision","04/18/2014"
"TROKENDI XR (NDA #201635)","001","TOPIRAMATE","SUPERNUS PHARMS","Manufacturing Change or Addition","04/18/2014"
"TROKENDI XR (NDA #201635)","004","TOPIRAMATE","SUPERNUS PHARMS","Manufacturing Change or Addition","04/18/2014"
"EDARBYCLOR (NDA #202331)","005","AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE","ARBOR PHARMS IRELAND","Labeling Revision","04/18/2014"
"BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE (ANDA #203136)","003","BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE","AMNEAL PHARMS","Manufacturing Change or Addition","04/18/2014"
"MINIVELLE (NDA #203752)","005","ESTRADIOL","NOVEN","Manufacturing Change or Addition","04/18/2014"
"SSD (NDA #018578)","016","SILVER SULFADIAZINE","DR REDDYS LA","Manufacturing Change or Addition","04/21/2014"
"SSD AF (NDA #018578)","016","SILVER SULFADIAZINE","DR REDDYS LA","Manufacturing Change or Addition","04/21/2014"
"LOTRISONE (NDA #018827)","046","BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE","MERCK SHARP DOHME","Labeling Revision","04/21/2014"
"UROXATRAL (NDA #021287)","018","ALFUZOSIN HYDROCHLORIDE","COVIS PHARMA SARL","Labeling Revision","04/21/2014"
"CADUET (NDA #021540)","033","AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM","PFIZER","Manufacturing Change or Addition","04/21/2014"
"ENDOMETRIN (NDA #022057)","007","PROGESTERONE","FERRING","Manufacturing Change or Addition","04/21/2014"
"FANAPT (NDA #022192)","013","ILOPERIDONE","NOVARTIS","Labeling Revision","04/21/2014"
"SPRIX (NDA #022382)","009","KETOROLAC TROMETHAMINE","LUITPOLD","Labeling Revision","04/21/2014"
"CLAFORAN IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #050596)","041","CEFOTAXIME SODIUM","SANOFI AVENTIS US","Manufacturing Change or Addition","04/21/2014"
"CLAFORAN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER (NDA #050596)","041","CEFOTAXIME SODIUM","SANOFI AVENTIS US","Manufacturing Change or Addition","04/21/2014"
"ATRIDOX (NDA #050751)","019","DOXYCYCLINE HYCLATE","TOLMAR","Manufacturing Change or Addition","04/21/2014"
"CYRAMZA (BLA #125477)","000","RAMUCIRUMAB","ELI LILLY AND CO","Approval","04/21/2014"
"PROCYSBI (NDA #203389)","005","CYSTEAMINE BITARTRATE","RAPTOR PHARMS","Manufacturing Change or Addition","04/21/2014"
"ALVESCO (NDA #021658)","008","CICLESONIDE","TAKEDA GMBH","Manufacturing Change or Addition","04/22/2014"
"ATAZANAVIR SULFATE (ANDA #091673)","000","ATAZANAVIR SULFATE","TEVA PHARMS USA","Approval","04/22/2014"
"ONCASPAR (BLA #103411)","5180","PEGASPARGASE","SIGMA TAU","Labeling Revision","04/22/2014"
"SYLVANT (BLA #125496)","000","SILTUXIMAB","JANSSEN BIOTECH","Approval","04/22/2014"
"HEPARIN SODIUM (NDA #201370)","004","HEPARIN SODIUM","PFIZER","Labeling Revision","04/22/2014"
"HEPARIN SODIUM (NDA #201370)","005","HEPARIN SODIUM","PFIZER","Labeling Revision","04/22/2014"
"HEPARIN SODIUM PRESERVATIVE FREE (NDA #201370)","004","HEPARIN SODIUM","PFIZER","Labeling Revision","04/22/2014"
"HEPARIN SODIUM PRESERVATIVE FREE (NDA #201370)","005","HEPARIN SODIUM","PFIZER","Labeling Revision","04/22/2014"
"ZETONNA (NDA #202129)","003","CICLESONIDE","TAKEDA GMBH","Manufacturing Change or Addition","04/22/2014"
"DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER (NDA #018883)","054","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","04/23/2014"
"DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM IN PLASTIC CONTAINER (NDA #018883)","054","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","04/23/2014"
